Beverage Info,Type,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV),Chol_to_C,Carb_to_C,F_to_C,S_to_C,P_to_C,A_to_C,C_to_C,Ca_to_C,Fe_to_C,Calories from Carbohydrates,Calories from Fiber,Calories from Protein
Iced Nonfat Caramel Mocha (Large) - 22 fl oz cup-MCD,,370,6.0,3.5,0.0,25,250,65,1,59,14,20,0,45,4,6.76%,17.57%,0.27%,15.95%,3.78%,5.41%,0.00%,12.16%,1.08%,260,2,56
Frappé Mocha - Tall Frap-MCD,Mocha Frappuccino (Tall),450,18.0,12.0,1.0,65,125,65,1,57,7,15,0,20,4,14.44%,14.44%,0.22%,12.67%,1.56%,3.33%,0.00%,4.44%,0.89%,260,2,28
Frappé Mocha - Grande Frap-MCD,Mocha Frappuccino (Grande),550,22.0,14.0,1.0,75,160,80,1,71,9,15,0,25,4,13.64%,14.55%,0.18%,12.91%,1.64%,2.73%,0.00%,4.55%,0.73%,320,2,36
Frappé Mocha (Large) - 22 fl oz cup Frap-MCD,,670,26.0,17.0,1.0,90,190,98,1,88,11,20,0,35,4,13.43%,14.63%,0.15%,13.13%,1.64%,2.99%,0.00%,5.22%,0.60%,392,2,44
Frappé Caramel - Tall Frap-MCD,Caramel Frappuccino (Tall),450,19.0,12.0,1.0,65,125,64,0,57,7,15,0,25,2,14.44%,14.22%,0.00%,12.67%,1.56%,3.33%,0.00%,5.56%,0.44%,256,0,28
Frappé Caramel - Grande Frap-MCD,Caramel Frappuccino (Grande),550,23.0,15.0,1.0,80,160,79,0,71,9,20,0,30,2,14.55%,14.36%,0.00%,12.91%,1.64%,3.64%,0.00%,5.45%,0.36%,316,0,36
Frappé Caramel (Large) - 22 fl oz cup Frap-MCD,,670,27.0,17.0,1.5,95,190,96,0,88,11,20,0,35,2,14.18%,14.33%,0.00%,13.13%,1.64%,2.99%,0.00%,5.22%,0.30%,384,0,44
Frappé Chocolate Chip - Tall Frap-MCD,Chocolate Chip Frappuccino (Tall),530,23.0,14.0,1.0,65,135,76,1,67,8,15,0,25,4,12.26%,14.34%,0.19%,12.64%,1.51%,2.83%,0.00%,4.72%,0.75%,304,2,32
Frappé Chocolate Chip - Grande Frap-MCD,Chocolate Chip Frappuccino (Grande),630,26.0,17.0,1.0,80,160,91,1,81,9,15,0,30,4,12.70%,14.44%,0.16%,12.86%,1.43%,2.38%,0.00%,4.76%,0.63%,364,2,36
Frappé Chocolate Chip (Large) - 22 fl oz cup Frap-MCD,,760,31.0,20.0,1.5,95,200,111,1,99,12,20,0,35,6,12.50%,14.61%,0.13%,13.03%,1.58%,2.63%,0.00%,4.61%,0.79%,444,2,48
Strawberry Banana Smoothie - Tall-MCD,Strawberry Banana Smoothie (Grande),210,0.5,0.0,0.0,5,50,47,3,44,3,0,30,8,2,2.38%,22.38%,1.43%,20.95%,1.43%,0.00%,14.29%,3.81%,0.95%,188,6,12
Strawberry Banana Smoothie - Grande-MCD,Strawberry Banana Smoothie (Grande),250,1.0,0.0,0.0,5,60,58,3,54,4,0,35,8,4,2.00%,23.20%,1.20%,21.60%,1.60%,0.00%,14.00%,3.20%,1.60%,232,6,16
Strawberry Banana Smoothie (Large) - 22 fl oz cup-MCD,Strawberry Banana Smoothie (Grande),330,1.0,0.5,0.0,5,80,74,4,70,5,0,45,10,4,1.52%,22.42%,1.21%,21.21%,1.52%,0.00%,13.64%,3.03%,1.21%,296,8,20
